"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"Hertz Global Holdings Inc","HTZ.MX","MX","96.00","-","-","--","--","87.00","80.00","96.00","87.00","+0.00","+0.00%","-","11.05.2020","19/03","21,790,000,000","","828","-","-","-","-","-","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-61.64%","-68.65%","-70.78%","-71.93%"
"HeidelbergCement AG","HEIN.MX","MX","914.68","-","-","--","--","914.68","914.68","914.68","914.68","0.00","0.00%","-","07.05.2020","25/03","9,990,000,000","","3,070","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-20.26%","-20.69%","-33.79%","-32.87%","-50.15%"
"The Goodyear Tire & Rubber Company","GT.MX","MX","140.70","145.00","149.00","--","--","140.70","197.99","140.70","140.70","-57.29","-28.94%","1,127","22.04.2020","13:10:16","3,050,000,000","","1,976","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-28.94%","-28.94%","-28.94%","-54.15%","-60.86%","-79.54%"
"Grifols SA Pref","GRFPN.MX","MX","429.47","-","-","--","--","429.47","414.56","429.47","429.47","+0.00","+0.00%","-","30.04.2020","20/03","314,460,000,000","","8,934","-","-","-","-","-","Venta fuerte","Neutral","Venta","Venta","Venta","Venta","Neutral","Compra fuerte","0.00%","-0.00%","-0.71%","-2.25%","16.75%","23.79%"
"Gap Inc","GPS.MX","MX","182.61","181.01","183.99","--","--","189.99","189.99","189.99","182.50","-7.38","-3.88%","7,150","21.05.2020","13:10:41","67,710,000,000","","1,316","-","-","-","-","-","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.88%","-3.88%","-31.35%","-45.33%","-63.95%","-61.75%"
"GoPro Inc","GPRO.MX","MX","73.01","-","-","--","--","73.01","72.50","73.01","73.01","+0.00","+0.00%","-","30.04.2020","06/03","9,130,000,000","","39","-","-","-","-","-","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-5.18%","-13.08%","-42.51%","-54.37%"
"Corning Incorporated","GLW.MX","MX","516.55","-","-","--","--","516.55","540.90","516.55","516.55","0.00","0.00%","-","05.05.2020","04/02","374,340,000,000","","2,270","-","-","-","-","-","Neutral","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta","0.00%","0.00%","0.00%","-7.08%","-18.23%","1.28%"
"Goldgroup Mining Inc","GGAN.MX","MX","0.500","-","-","--","--","0.500","0.500","0.500","0.500","0.00","0.00%","-","07.04.2020","02/03","77,360,000","","154","-","-","-","-","-","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","0.00%","0.00%","-50.00%","-72.22%"
"Siemens Gamesa Renewable Energy S.A.","SGREN.MX","MX","270.87","-","-","--","--","270.87","319.75","270.87","270.87","0.00","0.00%","-","06.05.2020","04/02","240,470,000,000","","59,000","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-11.04%","-34.94%"
"Fresenius Medical Care AG & Co","FMEN.MX","MX","1,548.95","-","-","--","--","1,548.95","1,525.68","1,548.95","1,548.95","+0.00","+0.00%","-","06.05.2020","04/02","450,890,000,000","","4,815","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.08%","-2.00%"
"Flex Ltd","FLEXN.MX","MX","165.00","-","-","--","--","165.00","175.00","171.10","165.00","0.00","0.00%","-","29.04.2020","23/03","96,310,000,000","","22,048","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-5.71%","-34.00%","-30.80%","-15.17%","-50.48%"
"Ferrovial SA","FERN.MX","MX","515.48","-","-","--","--","515.48","507.55","515.48","515.48","+0.00","+0.00%","-","07.05.2020","04/02","420,980,000,000","197,380,000","420","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","14.18%","34.88%"
"Fiat Chrysler Automobiles NV","FCANN.MX","MX","246.00","246.00","261.00","--","--","246.00","246.00","246.00","246.00","0.00","0.00%","-","05.05.2020","04/03","332,670,000,000","","21","-","-","-","-","-","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","0.00%","0.00%","0.00%","-16.85%","-4.81%","17.53%"
"Exor NV","EXO1N.MX","MX","1,412.82","-","-","--","--","1,412.82","1,391.45","1,412.82","1,412.82","+0.00","+0.00%","-","--","06/03","287,970,000,000","3,090,000,000","16,756","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","1.54%","-7.11%","-6.97%","46.89%"
"Exelon Corporation","EXC.MX","MX","932.44","-","-","--","--","932.44","951.50","932.44","932.44","0.00","0.00%","-","29.04.2020","04/02","815,250,000,000","","3,035","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","0.53%","20.67%"
"E.ON AG","EOANN.MX","MX","232.44","-","-","--","--","232.44","222.61","232.44","232.44","+0.00","+0.00%","-","12.05.2020","10/03","620,970,000,000","632,100,000","5,755","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-0.00%","4.42%","18.90%","7.82%","57.77%"
"Enel","ENELN.MX","MX","177.010","-","-","--","--","177.010","167.220","177.010","177.010","+0.00","+0.00%","-","06.05.2020","04/03","1.63T","","15,455","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","3.06%","17.33%","43.82%","106.64%"
"Ecolab Inc","ECL.MX","MX","3,900.00","-","-","--","--","3,900.00","3,680.00","3,900.00","3,900.00","+0.00","+0.00%","-","05.05.2020","04/03","1.06T","","431","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","5.98%","4.33%","17.12%","67.82%"
"Erste Bank","EBON.MX","MX","574.50","-","-","--","--","574.50","976.82","574.50","574.50","0.00","0.00%","-","30.04.2020","11/03","192,830,000,000","116,870,000","3,000","-","-","-","-","-","Neutral","Neutral","Neutral","Venta fuerte","Venta fuerte","Neutral","Venta","Neutral","0.00%","0.00%","-40.34%","-40.34%","-40.34%","-5.39%"
"eBay Inc","EBAY.MX","MX","685.55","-","-","--","--","685.55","728.50","685.55","685.55","0.00","0.00%","-","22.04.2020","20/03","564,260,000,000","","848","-","-","-","-","-","Venta fuerte","Venta","Venta","Venta","Neutral","Venta fuerte","Neutral","Venta","0.00%","0.00%","-4.97%","0.96%","-2.34%","5.47%"
